date	time	name	amount	comment
2022-2-8	22:18	**正	2	感谢油猴上的去广告脚本
2021-12-16	22:56	ABS	6	666!
2021-2-10	13:14	*成	5	
2020-11-17	19:13	**洲 *	22.57	（越共探头！
2020-10-20	11:17	*步	1	
2020-10-19	0:08	树蛙工具	20	大佬辛苦了，这么晚还在教我这个菜鸟\n请大佬喝杯奶茶
2020-5-3	0:11	*成兵	1	
2020-4-28	17:51	*成	5	加油哦！
2020-4-25	21:28	*铭	50	
2020-4-25	18:46	*铭	20	
2020-4-23	14:56	*威威	0.1	
2020-3-18	10:55	*德锟	1	
2020-3-7	16:16	*泰浩	1	
2020-2-22	13:09	*铭卓	2	
2020-2-6	15:39	*磊	1	
2020-1-30	17:26	A*a	10	看似眼熟，某AD奉上ww
2019-10-31	11:22	*\uD83E\uDD84	1	
2019-10-14	17:05	*慧超	1	
2019-10-7	21:09	*乂瑀	1	
2019-9-26	11:06	*光亮	3	
2019-9-9	22:53	*智	1	
2019-9-8	2:53	*叶 *	5	加油呀，揉揉|\u03C9\u00b7)
2019-9-5	13:37	*凯成	3	
2019-8-31	11:36	*瑞强	1	
2019-8-26	8:53	*志伟	1	
2019-8-20	21:44	*哼 *	8	
2019-8-3	23:23	*雨	2	
2019-7-30	12:03	*学永	1	
2019-7-13	14:05	v*g	1	
2019-7-3	23:57	*	1	
2019-6-26	23:14	B*D	1	
2019-6-12	10:04	*骁骁	1	
2019-3-15	14:58	*光 *	50	=w=不知道写啥
2019-3-7	16:50	*德	3	
2019-2-19	18:45	*杰通 *	10	揉毛毛
2019-2-11	22:38	redapple0204	30	谢谢脚本
2019-1-6	3:02	孤寡老狩	0.5	直播送礼（50%税）
2018-9-23	16:10	*生	6.6	
2018-9-11	12:32	lycsky497	5	APP很不错
2018-9-1	0:46	*虎	3	
2018-8-1	13:52	*六	100	
2018-6-1	21:44	*六	100	
2018-5-1	17:38	德鱼	1.5	
2018-3-13	12:16	悠霜	7	有好玩的东西当然要支持
2017-9-18	22:00	神秘人士	6.75	直播送礼（50%税）
